Date,Dividends
2005-12-23 00:00:00-05:00,0.417333
2006-12-21 00:00:00-05:00,0.435
2007-12-24 00:00:00-05:00,0.696667
2008-06-23 00:00:00-04:00,0.561667
2008-12-22 00:00:00-05:00,0.208
2009-06-22 00:00:00-04:00,0.326
2009-12-21 00:00:00-05:00,0.222
2010-06-21 00:00:00-04:00,0.459
2010-12-20 00:00:00-05:00,0.169
2011-06-21 00:00:00-04:00,0.686
2011-12-19 00:00:00-05:00,0.079
2012-06-20 00:00:00-04:00,0.851
2012-12-17 00:00:00-05:00,0.086
2013-06-25 00:00:00-04:00,0.839
2013-12-17 00:00:00-05:00,0.174
2014-06-24 00:00:00-04:00,0.54
2014-12-19 00:00:00-05:00,0.506
2015-06-24 00:00:00-04:00,0.249
2015-12-21 00:00:00-05:00,0.775
2016-06-21 00:00:00-04:00,0.244
2016-12-22 00:00:00-05:00,0.689
2017-06-20 00:00:00-04:00,0.176
2017-12-21 00:00:00-05:00,0.892
2018-06-19 00:00:00-04:00,0.605
2018-12-18 00:00:00-05:00,0.446
2019-06-17 00:00:00-04:00,0.407
2019-12-16 00:00:00-05:00,0.788
2020-06-15 00:00:00-04:00,0.333
2020-12-14 00:00:00-05:00,0.684
2021-06-10 00:00:00-04:00,0.151
2021-12-13 00:00:00-05:00,0.434
2022-06-09 00:00:00-04:00,0.146
2022-12-13 00:00:00-05:00,0.593
2023-06-07 00:00:00-04:00,0.154
2023-12-20 00:00:00-05:00,0.607
2024-06-11 00:00:00-04:00,0.085
2024-12-17 00:00:00-05:00,0.451
