Date,Dividends
2012-06-21 00:00:00-04:00,0.083
2013-12-18 00:00:00-05:00,0.097
2014-06-25 00:00:00-04:00,0.076
2014-12-17 00:00:00-05:00,0.113
2015-06-25 00:00:00-04:00,0.127
2015-12-21 00:00:00-05:00,0.2
2016-06-22 00:00:00-04:00,0.169
2016-12-21 00:00:00-05:00,0.074
2017-06-20 00:00:00-04:00,0.125
2017-12-19 00:00:00-05:00,0.268
2018-06-19 00:00:00-04:00,0.046
2018-12-18 00:00:00-05:00,0.253
2018-12-28 00:00:00-05:00,0.016
2019-06-17 00:00:00-04:00,0.317
2019-12-16 00:00:00-05:00,0.033
2020-06-15 00:00:00-04:00,0.076
2020-12-14 00:00:00-05:00,0.032
2021-06-10 00:00:00-04:00,0.042
2021-12-13 00:00:00-05:00,2.879
2021-12-30 00:00:00-05:00,0.03
2023-06-07 00:00:00-04:00,0.08
2024-12-17 00:00:00-05:00,0.399
